FID,OBJECTID_1,NOMBRE_ENT,CATEGORIA,DEPARTAMEN,COD_DEPART,COD_MUNICI,AREA_KM,OBSERVACIO,PK_CUE,ACTO_ADMIN,ESCALA_150,ESCALA_200,ESCALA_300,ESCALA_350,ESCALA_400,ESCALA_500,ESCALA_750,ESCALA_100,SHAPE_Leng,SHAPE_Area
609,"4,793.000000000000000",SAN MIGUEL,M,SANTANDER,68,686,71.058494069999995, ,"502,183.000000000000000", ,0,0,0,0,0,0,0,0,0.387993685507000,0.005806359256630
610,"4,794.000000000000000",PUERTO RONDÓN,M,ARAUCA,81,591,"2,287.936315370000100", ,"502,185.000000000000000", ,0,0,0,0,0,0,0,0,2.772209751400000,0.186464510253000
611,"4,795.000000000000000",CABRERA,M,SANTANDER,68,121,67.221384929999999, ,"502,187.000000000000000", ,0,0,0,0,0,0,0,0,0.349404549603000,0.005495049325210
612,"4,796.000000000000000",SOPETRÁN,M,ANTIOQUIA,05,761,215.339254899999990, ,"502,189.000000000000000", ,0,0,0,0,0,0,0,0,0.783826332176000,0.017590431091500
613,"4,797.000000000000000",HATO,M,SANTANDER,68,344,170.006655749999990, ,"502,191.000000000000000", ,0,0,0,0,0,0,0,0,0.587390326076000,0.013897940810500
614,"4,798.000000000000000",CRAVO NORTE,M,ARAUCA,81,220,"5,195.321371349999900",En proceso de Aprobación. Sujeto a cambios,"502,193.000000000000000", ,0,0,0,0,0,0,0,0,3.907328339800000,0.422242863454000
615,"4,799.000000000000000",MOGOTES,M,SANTANDER,68,464,484.558692889999970, ,"502,195.000000000000000", ,0,0,0,0,0,0,0,0,1.115998336070000,0.039598270390300
616,"4,800.000000000000000",SAN GIL,M,SANTANDER,68,679,148.272053970000000, ,"502,197.000000000000000", ,0,0,0,0,0,0,0,0,0.706870936083000,0.012119428993500
617,"4,801.000000000000000",MACEO,M,ANTIOQUIA,05,425,386.729635280000020, ,"502,199.000000000000000", ,0,0,0,0,0,0,0,0,1.283822365950000,0.031613767239500
618,"4,802.000000000000000",PALMAS DEL SOCORRO,M,SANTANDER,68,524,59.384866350000003, ,"502,112.000000000000000", ,0,0,0,0,0,0,0,0,0.316860584598000,0.004852925807330
619,"4,803.000000000000000",GIRARDOTA,M,ANTIOQUIA,05,308,82.161542990000001, ,"502,118.000000000000000", ,0,0,0,0,0,0,0,0,0.367461601917000,0.006711542977990
620,"4,804.000000000000000",EL COCUY,M,BOYACÁ,15,244,237.298710709999990, ,"502,120.000000000000000", ,0,0,0,0,0,0,0,0,0.737287395799000,0.019378166202100
621,"4,805.000000000000000",BOAVITA,M,BOYACÁ,15,097,142.989270229999990, ,"502,122.000000000000000", ,0,0,0,0,0,0,0,0,0.641093738361000,0.011678563780500
622,"4,806.000000000000000",CARACOLÍ,M,ANTIOQUIA,05,142,263.584691439999970, ,"502,126.000000000000000", ,0,0,0,0,0,0,0,0,0.979538868301000,0.021539203815700
623,"4,807.000000000000000",BARBOSA,M,SANTANDER,68,077,47.557658990000000, ,"502,394.000000000000000", ,0,0,0,0,0,0,0,0,0.274376323422000,0.003883788877220
624,"4,808.000000000000000",FREDONIA,M,ANTIOQUIA,05,282,249.900485989999990, ,"502,396.000000000000000", ,0,0,0,0,0,0,0,0,0.834417918438000,0.020390969536100
625,"4,809.000000000000000",SAN FRANCISCO,M,ANTIOQUIA,05,652,357.589426189999980, ,"502,398.000000000000000", ,0,0,0,0,0,0,0,0,1.144524808410000,0.029193133783200
626,"4,810.000000000000000",PAIPA,M,BOYACÁ,15,516,316.521080069999980, ,"502,402.000000000000000", ,0,0,0,0,0,0,0,0,1.070850876360000,0.025837708473200
627,"4,811.000000000000000",VENECIA,M,ANTIOQUIA,05,861,140.967333770000010, ,"502,404.000000000000000", ,0,0,0,0,0,0,0,0,0.563979784424000,0.011502738775400
628,"4,812.000000000000000",NUQUÍ,M,CHOCÓ,27,495,703.784464690000050,En proceso de Aprobación. Sujeto a cambios,"502,406.000000000000000", ,0,0,0,0,0,0,0,0,2.357790343030000,0.057384232603400
629,"4,813.000000000000000",CERINZA,M,BOYACÁ,15,162,63.876492859999999, ,"502,408.000000000000000", ,0,0,0,0,0,0,0,0,0.326223917390000,0.005214890942860
630,"4,814.000000000000000",EL CARMEN,M,CHOCÓ,27,245,830.603218579999980, ,"502,410.000000000000000", ,0,0,0,0,0,0,0,0,1.421794012730000,0.067726124349400
631,"4,815.000000000000000",SANTA BÁRBARA,M,ANTIOQUIA,05,679,209.823643059999990, ,"502,414.000000000000000", ,0,0,0,0,0,0,0,0,0.831691356695000,0.017122386912700
632,"4,816.000000000000000",DUITAMA,M,BOYACÁ,15,238,234.002437079999990, ,"502,416.000000000000000", ,0,0,0,0,0,0,0,0,0.926556569672000,0.019102884243500
633,"4,817.000000000000000",LA BELLEZA,M,SANTANDER,68,377,337.538789319999980, ,"502,418.000000000000000", ,0,0,0,0,0,0,0,0,1.169629910560000,0.027564541682400
634,"4,818.000000000000000",LA UNIÓN,M,ANTIOQUIA,05,400,172.333211519999990, ,"502,420.000000000000000", ,0,0,0,0,0,0,0,0,0.690919197714000,0.014067136490000
635,"4,819.000000000000000",ALTO BAUDÓ (Pie de Pato),M,CHOCÓ,27,025,"2,067.318978220000200", ,"502,424.000000000000000", ,0,0,0,0,0,0,0,0,3.234734710230000,0.168283044139000
636,"4,820.000000000000000",PUERTO TRIUNFO,M,ANTIOQUIA,05,591,371.688292129999980, ,"502,426.000000000000000", ,0,0,0,0,0,0,0,0,0.972006238081000,0.030353947552300
637,"4,821.000000000000000",LA MACARENA,M,META,50,350,"10,841.520074300000000", ,"500,796.000000000000000", ,0,0,0,0,0,0,0,0,5.600858892220000,0.881367010173000
638,"4,822.000000000000000",HOBO,M,HUILA,41,349,194.361592680000000, ,"500,809.000000000000000", ,0,0,0,0,0,0,0,0,0.652175954207000,0.015796137905100
639,"4,823.000000000000000",ALGECIRAS,M,HUILA,41,020,589.393051219999960, ,"500,819.000000000000000", ,0,0,0,0,0,0,0,0,1.246907893030000,0.047905495019200
640,"4,824.000000000000000",ÍQUIRA,M,HUILA,41,357,356.045888390000020, ,"500,829.000000000000000", ,0,0,0,0,0,0,0,0,0.980839970504000,0.028933853284700
641,"4,825.000000000000000",CALDONO,M,CAUCA,19,137,354.492588520000030, ,"500,839.000000000000000", ,0,0,0,0,0,0,0,0,1.061019844950000,0.028782769296000
642,"4,826.000000000000000",JAMBALÓ,M,CAUCA,19,364,233.818827260000010, ,"500,852.000000000000000", ,0,0,0,0,0,0,0,0,0.846458671866000,0.018989514407200
643,"4,827.000000000000000",CUBARÁ,M,BOYACÁ,15,223,"1,180.513304370000000",En proceso de Aprobación. Sujeto a cambios,"502,428.000000000000000", ,0,0,0,0,0,0,0,0,1.837000554040000,0.096479227458100
644,"4,828.000000000000000",SABANALARGA,M,ANTIOQUIA,05,628,263.513379840000030, ,"502,430.000000000000000", ,0,0,0,0,0,0,0,0,0.824063944410000,0.021541012172300
645,"4,829.000000000000000",SARAVENA,M,ARAUCA,81,736,943.714492840000050,En proceso de Aprobación. Sujeto a cambios,"502,432.000000000000000", ,0,0,0,0,0,0,0,0,1.286305019350000,0.077100672185600
646,"4,830.000000000000000",GUACA,M,SANTANDER,68,318,304.035633260000000, ,"502,434.000000000000000", ,0,0,0,0,0,0,0,0,0.899380321082000,0.024865930173900
647,"4,831.000000000000000",TOLEDO,M,ANTIOQUIA,05,819,121.643788349999990, ,"502,436.000000000000000", ,0,0,0,0,0,0,0,0,0.475002322819000,0.009946994221070
648,"4,832.000000000000000",ARAUCA,M,ARAUCA,81,001,"5,789.828713750000100",En proceso de Aprobación. Sujeto a cambios,"502,438.000000000000000", ,0,0,0,0,0,0,0,0,4.608253290260000,0.471533250921000
649,"4,833.000000000000000",PIEDECUESTA,M,SANTANDER,68,547,483.975097220000010, ,"502,440.000000000000000", ,0,0,0,0,0,0,0,0,1.203030786450000,0.039589150152600
650,"4,834.000000000000000",SANTA BÁRBARA,M,SANTANDER,68,705,221.318431860000000, ,"502,442.000000000000000", ,0,0,0,0,0,0,0,0,0.855910613052000,0.018103454387800
651,"4,835.000000000000000",SAN VICENTE DE CHUCURÍ,M,SANTANDER,68,689,"1,098.662119820000000", ,"502,444.000000000000000", ,0,0,0,0,0,0,0,0,2.331282968230000,0.089879373588300
652,"4,836.000000000000000",FLORIDABLANCA,M,SANTANDER,68,276,98.850898299999997, ,"502,446.000000000000000", ,0,0,0,0,0,0,0,0,0.504661068809000,0.008088291692400
653,"4,837.000000000000000",BETULIA,M,SANTANDER,68,092,429.739746770000010, ,"502,448.000000000000000", ,0,0,0,0,0,0,0,0,1.222265648020000,0.035163428986800
654,"4,838.000000000000000",DABEIBA,M,ANTIOQUIA,05,234,"2,022.096636219999900", ,"502,450.000000000000000", ,0,0,0,0,0,0,0,0,2.423825708110000,0.165222949799000
655,"4,839.000000000000000",CAMPAMENTO,M,ANTIOQUIA,05,134,201.980053140000000, ,"502,452.000000000000000", ,0,0,0,0,0,0,0,0,0.847190742582000,0.016522974889300
656,"4,840.000000000000000",GIRÓN,M,SANTANDER,68,307,496.393715400000020, ,"502,454.000000000000000", ,0,0,0,0,0,0,0,0,1.931203199640000,0.040616905660000
657,"4,841.000000000000000",PEQUE,M,ANTIOQUIA,05,543,436.167808349999970, ,"502,456.000000000000000", ,0,0,0,0,0,0,0,0,1.100607732410000,0.035661594236500
658,"4,842.000000000000000",BRICEÑO,M,ANTIOQUIA,05,107,379.033478549999980, ,"502,460.000000000000000", ,0,0,0,0,0,0,0,0,0.985032008674000,0.031004664478200
659,"4,843.000000000000000",BARRANCABERMEJA,M,SANTANDER,68,081,"1,345.452780919999900", ,"502,462.000000000000000", ,0,0,0,0,0,0,0,0,2.490481995980000,0.110115409229000
660,"4,844.000000000000000",TONA,M,SANTANDER,68,820,331.239000089999990, ,"502,466.000000000000000", ,0,0,0,0,0,0,0,0,0.844947994581000,0.027106034132300
661,"4,845.000000000000000",BUCARAMANGA,M,SANTANDER,68,001,153.373188870000010, ,"502,468.000000000000000", ,0,0,0,0,0,0,0,0,0.660331846751000,0.012551837045700
662,"4,846.000000000000000",REMEDIOS,M,ANTIOQUIA,05,604,"1,994.718903340000000", ,"502,470.000000000000000", ,0,0,0,0,0,0,0,0,2.886632420440000,0.163221587739000
663,"4,847.000000000000000",AMALFI,M,ANTIOQUIA,05,031,"1,208.226546599999900", ,"502,472.000000000000000", ,0,0,0,0,0,0,0,0,1.868039530330000,0.098846085290500
664,"4,848.000000000000000",YONDÓ (Casabe),M,ANTIOQUIA,05,893,"1,895.946098010000000", ,"502,474.000000000000000", ,0,0,0,0,0,0,0,0,2.340524479230000,0.155125144554000
665,"4,849.000000000000000",SILOS,M,NORTE DE SANTANDER,54,743,316.522133479999980, ,"502,476.000000000000000", ,0,0,0,0,0,0,0,0,0.832399814090000,0.025899211319300
666,"4,850.000000000000000",Carmen del Darién  (Curbaradó),M,Chocó,27,150,"3,180.627051900000000", ,"502,478.000000000000000", ,0,0,0,0,0,0,0,0,3.425252238090000,0.259641447130000
667,"4,851.000000000000000",CHARTA,M,SANTANDER,68,169,126.377121970000000, ,"502,480.000000000000000", ,0,0,0,0,0,0,0,0,0.582507873610000,0.010344018670100
668,"4,852.000000000000000",SABOYÁ,M,BOYACÁ,15,632,243.960779930000000, ,"502,315.000000000000000", ,0,0,0,0,0,0,0,0,0.767067819298000,0.019914753358500
669,"4,853.000000000000000",PUERTO SALGAR,M,CUNDINAMARCA,25,572,510.511725109999990, ,"502,319.000000000000000", ,0,0,0,0,0,0,0,0,1.324785450390000,0.041666211505100
670,"4,854.000000000000000",SANTA SOFÍA,M,BOYACÁ,15,696,78.467456330000005, ,"502,321.000000000000000", ,0,0,0,0,0,0,0,0,0.397258134702000,0.006405501796340
671,"4,855.000000000000000",BETANIA,M,ANTIOQUIA,05,091,171.771485009999990, ,"502,323.000000000000000", ,0,0,0,0,0,0,0,0,0.647272171402000,0.014007538739300
672,"4,856.000000000000000",TÓPAGA,M,BOYACÁ,15,820,33.816260950000000, ,"502,325.000000000000000", ,0,0,0,0,0,0,0,0,0.269809531799000,0.002759566475470
673,"4,857.000000000000000",GACHANTIVÁ,M,BOYACÁ,15,293,86.903953130000005, ,"502,329.000000000000000", ,0,0,0,0,0,0,0,0,0.459534350788000,0.007094216272720
674,"4,858.000000000000000",CÓMBITA,M,BOYACÁ,15,204,145.293831979999990, ,"502,331.000000000000000", ,0,0,0,0,0,0,0,0,0.680099860830000,0.011858618176000
675,"4,859.000000000000000",NOBSA,M,BOYACÁ,15,491,54.743717150000002, ,"502,333.000000000000000", ,0,0,0,0,0,0,0,0,0.337104737771000,0.004467762692670
676,"4,860.000000000000000",AMAGÁ,M,ANTIOQUIA,05,030,82.870125889999997, ,"501,989.000000000000000", ,0,0,0,0,0,0,0,0,0.418357507479000,0.006763478610070
677,"4,861.000000000000000",BELÉN,M,BOYACÁ,15,087,163.108301899999990, ,"501,990.000000000000000", ,0,0,0,0,0,0,0,0,0.610894635764000,0.013316566804800
